x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
65.06;0.56112;0.798065;0.00212864;0.000832095;-7.84375;-3.5578;-4.401285;-0.000010335;0.447810233
65.36;0.561125;0.79843;0.002224775;0.000923578;-7.8432;-3.555;-4.4010156;0.000275193;0.448019034
65.65;0.561205;0.799305;0.00289081;0.004625038;-7.8423;-3.55525;-4.401137972;-0.000105002;0.448573963
65.95;0.56111;0.797975;0.00208644;0.00121555;-7.8433;-3.55575;-4.400954063;0.000154595;0.447751752
66.25;0.56099;0.79856;0.0018383;0.000798785;-7.84585;-3.55525;-4.401443392;-0.000252864;0.447984174
66.54;0.56107;0.798755;0.002677435;0.003738853;-7.8441;-3.55595;-4.401089187;-0.000441788;0.448157468
66.84;0.56081;0.7987;0.002026545;0.002313412;-7.8484;-3.55735;-4.401461204;0.000145185;0.447918947
67.14;0.561265;0.79833;0.00194276;0.002676033;-7.8416;-3.5559;-4.401215624;0.000690221;0.448074687
67.43;0.56111;0.798735;0.002873395;0.002774933;-7.84375;-3.55665;-4.401206563;-0.00092712;0.448178196
67.73;0.56105;0.79862;0.002252295;0.002214955;-7.84525;-3.55715;-4.401577513;-0.00010394;0.448065751
68.03;0.561175;0.798255;0.0020255;0.001596818;-7.8433;-3.5566;-4.401463878;-0.000355495;0.44796075
68.32;0.561155;0.798645;0.00276502;0.001696898;-7.84315;-3.55615;-4.401222838;0.00052616;0.448163635
68.62;0.56125;0.79876;0.00248955;0.003970755;-7.8422;-3.55635;-4.40143475;-0.000575275;0.44830405
68.91;0.561305;0.79842;0.001774996;0.001421102;-7.84135;-3.5556;-4.401388962;4.1415E-05;0.448157138
69.21;0.561025;0.79858;0.00256944;0.001497615;-7.846;-3.5574;-4.40180215;0.000694885;0.448023345
69.51;0.560965;0.798915;0.002697555;0.001881778;-7.8469;-3.55735;-4.401836259;-0.000347774;0.448163353
69.8;0.56117;0.798705;0.001858985;0.002167597;-7.843;-3.5555;-4.40125631;-0.000421064;0.448209285
70.1;0.561125;0.798465;0.00263674;0.003060359;-7.8443;-3.5565;-4.401632838;0.000350159;0.448038673
70.4;0.56113;0.798365;0.00286585;0.002107178;-7.8439;-3.5563;-4.401447607;-0.000117485;0.447986552
70.69;0.561;0.798985;0.002301285;0.002906078;-7.8452;-3.55665;-4.4011572;-0.00050038;0.448230585
70.99;0.56117;0.79831;0.00224297;0.003324675;-7.8423;-3.55585;-4.400863491;0.00026413;0.447987623
71.29;0.561085;0.79852;0.00278903;0.00206544;-7.84375;-3.55725;-4.401010469;0.000260039;0.448037594
71.58;0.561255;0.798335;0.002250705;0.00251764;-7.8414;-3.55665;-4.401024957;-0.000303634;0.44806951
71.88;0.56118;0.79882;0.002032365;0.002197545;-7.84275;-3.5568;-4.401194445;-0.000416959;0.448281808
72.18;0.561105;0.798335;0.002705445;0.004923243;-7.844;-3.55595;-4.40130762;0.000103062;0.44794976
72.47;0.561185;0.79866;0.0025116;0.001961333;-7.8436;-3.5549;-4.401710666;0.00038646;0.448196012
72.77;0.56118;0.79857;0.002238525;0.00215496;-7.844;-3.5578;-4.40189592;0.00006013;0.448141513
73.06;0.561115;0.79919;0.00234734;0.000562935;-7.8447;-3.5563;-4.401778841;-0.000177844;0.448437497
73.36;0.56093;0.79822;0.00273085;0.000652977;-7.848;-3.55845;-4.40217864;-0.000223617;0.447745545
73.66;0.560875;0.7988;0.0023378;0.002736778;-7.8483;-3.5565;-4.401915263;-1.06378E-05;0.44802695
73.95;0.56113;0.798755;0.00253308;0.002448174;-7.8447;-3.55675;-4.401896511;0.00025703;0.448205393
74.25;0.56103;0.798585;0.002650125;0.004317383;-7.846;-3.5569;-4.40184138;-0.00031993;0.448030143
74.55;0.561025;0.79841;0.00238695;0.003018573;-7.8455;-3.5564;-4.401521638;-0.000472095;0.44792797
74.84;0.561005;0.79914;0.002456075;0.003754725;-7.8456;-3.5569;-4.401420828;0.00078907;0.448321536
75.14;0.561335;0.798235;0.002300125;0.002603413;-7.84055;-3.5559;-4.401175134;-0.000445095;0.448077244
75.44;0.561235;0.798415;0.0027743;0.00094495;-7.8421;-3.5555;-4.401260994;2.89455E-05;0.448098443
75.73;0.56132;0.798615;0.002209485;0.0022618;-7.8405;-3.5571;-4.40102946;0.00058634;0.448278572
